id,name,gender,achievement,gender_num,achievement_num
1,Katherine,female,high,1,1
2,James,male,average,0,2
3,Angela,female,average,1,2
4,Joseph,male,high,0,1
5,Samantha,female,average,1,2
6,Susan,female,average,1,2
7,Anna,female,high,1,1
8,Kimberly,female,average,1,2
9,Helen,female,high,1,1
10,Samuel,male,low,0,3
11,Charles,male,high,0,1
12,Justin,male,low,0,3
13,Cynthia,female,low,1,3
14,Karen,female,average,1,2
15,Michelle,female,average,1,2
16,Mary,female,low,1,3
17,Elizabeth,female,low,1,3
18,Barbara,female,average,1,2
19,Anthony,male,low,0,3
20,Gary,male,low,0,3
21,Kenneth,male,average,0,2
22,Jessica,female,low,1,3
23,Brian,male,low,0,3
24,Jeffrey,male,high,0,1
25,Jennifer,female,high,1,1
26,Deborah,female,low,1,3
27,George,male,high,0,1
